_num,id,rank,workers,company,url,state_l,state_s,city,metro,growth,revenue,industry,yrs_on_list,revenue_per_employee,growth_category
228,25133,228,14,Strategi Consulting,strategi-consulting,Maryland,MD,Chevy Chase,Washington DC,1994.359,3475505.0,IT Services,1,248250.35714285713,Medium
229,24786,229,3,PPT Fiberglass,ppt-fiberglass,Texas,TX,Houston,Houston,1983.3333,2500000.0,Manufacturing,1,833333.3333333334,Medium
230,25449,230,4,X5 Networks,x5-networks,Delaware,DE,Wilmington,Philadelphia,1970.7638,2114664.0,IT Services,1,528666.0,Medium
231,25944,231,74,Pathoras,pathoras,Virginia,VA,Fairfax,Washington DC,1960.201,9306999.0,Government Services,1,125770.25675675676,Medium
232,26405,232,11,American Wireless,american-wireless,Virginia,VA,Arlington,Washington DC,1957.7655,42522345.0,Telecommunications,1,3865667.727272727,Medium
233,25112,233,174,SendGrid,sendgrid,Colorado,CO,Boulder,Boulder CO,1944.7493,28906069.0,Software,1,166126.83333333334,Medium
234,25091,234,28,Laudan Properties,laudan-properties,Ohio,OH,Twinsburg,Akron OH,1938.44,10107299.0,Real Estate,1,360974.96428571426,Medium
235,25862,235,20,Streamline Solutions,streamline-solutions,Pennsylvania,PA,Philadelphia,Philadelphia,1926.8608,7955530.0,Real Estate,1,397776.5,Medium
236,26201,236,7,Eau De Luxe,eau-de-luxe,New York,NY,Long Island City,New York City,1926.8199,2540031.0,Retail,1,362861.5714285714,Medium
237,26109,237,16,Levitate Media,levitate-media,California,CA,San Francisco,San Francisco,1923.3738,2094293.0,Media,1,130893.3125,Medium
238,25447,238,80,Avani Technology Solutions,avani-technology-solutions,New York,NY,Rochester,Rochester NY,1915.7856,7333811.0,IT Services,1,91672.6375,Medium
239,25891,239,19,Expert Technical Solutions,expert-technical-solutions,Georgia,GA,Atlanta,Atlanta,1908.1744,3493139.0,IT Services,1,183849.42105263157,Medium
240,25334,240,25,Motiv Power Systems,motiv-power-systems,California,CA,Foster City,San Francisco,1900.4708,2681071.0,Energy,1,107242.84,Medium
241,25276,241,10,Allurez,allurez,New York,NY,Great Neck,New York City,1895.0226,3681934.0,Retail,1,368193.4,Medium
242,25999,242,125,Logical Paradigm,logical-paradigm,Virginia,VA,Herndon,Washington DC,1892.7737,7642008.0,IT Services,1,61136.064,Medium
243,25001,243,125,LiveRail,liverail,California,CA,San Francisco,San Francisco,1892.6301,72731000.0,Advertising & Marketing,1,581848.0,Medium
244,25218,244,24,Hydro Flask,hydro-flask,Oregon,OR,Bend,Prineville OR,1890.4539,12684307.0,Consumer Products & Services,1,528512.7916666666,Medium
245,23012,245,250,Act-On Software,act-on-software,Oregon,OR,Beaverton,Portland OR,1879.873,19378839.0,Software,2,77515.356,Medium
246,25652,246,3,Spartan Value Investors,spartan-value-investors,Alabama,AL,Birmingham,Birmingham-Hoover AL,1865.5423,3370905.0,Real Estate,1,1123635.0,Medium
247,26122,247,16,GreenRope,greenrope,California,CA,Cardiff,San Diego,1858.9052,2129330.0,Software,1,133083.125,Medium
